,retail_recreation,grocery_pharmacy,parks,transit_stations,workplace,residential,second_level_subdivision,country_code,first_level_subdivision
11,-63.0,-30.0,-44.0,-59.0,-22,11.0,None,BR,State of Mato Grosso
12,-68.0,-33.0,-56.0,-68.0,-26,14.0,None,BR,State of Mato Grosso do Sul
13,-66.0,-29.0,-46.0,-57.0,-30,15.0,None,BR,State of Minas Gerais
14,-75.0,-42.0,-70.0,-64.0,-34,17.0,None,BR,State of Paraná
15,-76.0,-36.0,-73.0,-64.0,-33,17.0,None,BR,State of Paraíba
16,-61.0,-25.0,-53.0,-64.0,-19,12.0,None,BR,State of Pará
17,-74.0,-35.0,-72.0,-59.0,-35,17.0,None,BR,State of Pernambuco
18,-71.0,-39.0,-49.0,-76.0,-27,18.0,None,BR,State of Piauí
19,-74.0,-36.0,-74.0,-66.0,-33,19.0,None,BR,State of Rio Grande do Norte
20,-75.0,-39.0,-73.0,-67.0,-36,20.0,None,BR,State of Rio Grande do Sul
21,-72.0,-32.0,-74.0,-61.0,-37,17.0,None,BR,State of Rio de Janeiro
22,-63.0,-27.0,-42.0,-71.0,-23,12.0,None,BR,State of Rondônia
23,-68.0,-25.0,-51.0,-72.0,-24,12.0,None,BR,State of Roraima
24,-80.0,-49.0,-84.0,-76.0,-40,20.0,None,BR,State of Santa Catarina
25,-78.0,-46.0,-77.0,-83.0,-36,18.0,None,BR,State of Sergipe
26,-72.0,-36.0,-71.0,-62.0,-37,17.0,None,BR,State of São Paulo
27,-61.0,-31.0,-35.0,-71.0,-19,11.0,None,BR,State of Tocantins
0,-66.0,-36.0,-32.0,-58.0,-29,11.0,None,BG,None
1,-74.0,-47.0,-32.0,-55.0,-43,10.0,None,BG,Blagoevgrad Province
2,-65.0,-38.0,-40.0,-51.0,-35,11.0,None,BG,Burgas
3,-61.0,-33.0,-38.0,,-19,18.0,None,BG,Dobrich Province
4,-61.0,-34.0,-16.0,,-17,17.0,None,BG,Gabrovo
5,-66.0,-43.0,-14.0,-67.0,-27,13.0,None,BG,Haskovo Province
6,-58.0,-44.0,-42.0,,-20,14.0,None,BG,Jambol
7,-71.0,-48.0,-27.0,-76.0,-39,12.0,None,BG,Kardzhali Province
8,-57.0,-39.0,-35.0,-46.0,-24,19.0,None,BG,Kyustendil Province
9,-64.0,-32.0,-16.0,,-21,18.0,None,BG,Lovec
10,-41.0,-37.0,-18.0,-58.0,-13,11.0,None,BG,Montana Province
11,-68.0,-38.0,-29.0,-69.0,-32,13.0,None,BG,Pazardzhik
12,-58.0,-31.0,-37.0,,-21,21.0,None,BG,Pernik
13,-64.0,-37.0,-16.0,,-22,14.0,None,BG,Pleven Province
14,-68.0,-38.0,-33.0,-54.0,-29,12.0,None,BG,Plovdiv Province
15,-48.0,-66.0,,,-10,11.0,None,BG,Razgrad
16,-58.0,-36.0,-14.0,-43.0,-25,11.0,None,BG,Ruse
17,-63.0,-29.0,-26.0,-70.0,-20,20.0,None,BG,Shumen Province
18,-37.0,-23.0,,,-12,-3.0,None,BG,Silistra
19,-61.0,-36.0,-40.0,-51.0,-25,19.0,None,BG,Sliven Province
20,-66.0,-59.0,-42.0,,-41,2.0,None,BG,Smoljan
